ID1,ID2,EdgeType,Score,Annotation
4131,4261,MS1 annotation,4,[M+Na]+ [M+H]+ dm/z=21.98181
4136,4144,MS1 annotation,2,[M+2H]+2 [M+Na]+ dm/z=309.65329
4136,4144,MS1 annotation,2,[M+H]+ [2M+Na]+ dm/z=309.65329
4165,4175,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98185
4179,4188,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98219
4193,4194,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98217
4243,4261,MS1 annotation,4,[M+Na]+ [2M+H]+ dm/z=321.26472
4279,4285,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98169
4283,4288,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98243
4305,4307,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98199
4345,4349,MS1 annotation,2,[2M-H+2Na]+ [M+H]+ dm/z=399.17513
4355,4359,MS1 annotation,6,[M+H]+ [2M+Na]+ dm/z=460.26556
4355,4362,MS1 annotation,6,[M+K]+ [2M+Na]+ dm/z=422.31061
4357,4362,MS1 annotation,6,[M+K]+ [2M+H]+ dm/z=400.32905
4357,4376,MS1 annotation,6,[M+Na]+ [2M+H]+ dm/z=416.30239
4359,4362,MS1 annotation,6,[M+K]+ [M+H]+ dm/z=37.95495
